channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
512,277,327,1371,738,1172,1108,900,
428,237,290,1373,671,1072,990,874,
476,214,323,1441,785,1013,1068,952,
527,235,309,1394,818,1119,1125,957,
528,239,317,1316,818,1119,1095,990,
516,236,317,1265,784,1158,1082,989,
561,233,320,1184,785,1078,946,1062,
628,378,371,1333,972,1025,1270,1005,
597,355,327,1266,896,932,1207,955,
602,358,319,1112,733,827,1222,991,
560,324,320,1290,787,893,1163,957,
581,318,312,1476,765,810,1073,939,
570,305,267,1414,644,832,1012,916,
547,273,287,1484,634,824,865,846,
545,257,318,1208,491,875,968,805,
541,257,330,1313,546,908,984,857,
512,239,321,1291,616,868,1007,824,
493,241,317,1324,619,902,1017,954,
469,240,318,1360,608,936,968,981,
394,200,289,1347,706,942,904,959,
469,242,276,1335,766,997,1074,959,
565,288,260,1310,755,1015,1083,1048,
579,284,253,1337,812,906,1017,998,
592,288,250,1417,769,921,1122,1036,
549,262,258,1352,690,945,1080,1014,
572,271,241,1323,640,899,1023,963,
745,352,274,1387,717,924,1097,1013,
748,352,279,1363,723,898,1077,1004,
756,364,266,1270,683,850,955,930,
763,367,266,1244,673,712,766,948,
671,321,267,1194,670,804,781,889,
474,245,243,1178,525,767,810,716,
449,227,233,1088,469,773,772,681,
470,228,218,1087,452,738,810,671,
536,259,324,1302,594,768,906,680,
635,347,371,1403,740,860,1026,840,
720,379,463,1385,864,944,933,931,
761,399,477,1467,890,942,923,1053,
787,401,485,1459,897,1036,1001,1116,
769,390,462,1366,947,1098,961,1112,
759,341,471,1450,965,978,831,1050,
695,296,386,1508,919,955,822,995,
692,287,387,1466,936,1024,939,965,
622,264,378,1440,922,896,783,866,
589,254,366,1410,830,798,748,844,
495,214,335,1303,707,799,747,834,
433,197,317,1140,664,677,708,751,
412,165,295,1056,584,476,503,606,
407,157,288,1013,576,445,470,573,
361,117,224,892,472,356,370,534,
376,124,154,653,344,241,222,422,
378,121,135,594,226,225,201,431,
321,123,123,553,239,217,193,423,
307,122,126,595,262,213,184,423,
312,92,165,770,393,155,250,269,
334,122,176,770,509,176,282,278,
365,129,169,719,593,172,293,409,
357,127,98,379,594,145,296,423,
