channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
24,28,21,26,23,23,23,20,
24,28,22,24,24,23,21,22,
25,26,22,23,25,23,21,22,
24,26,23,23,25,24,21,24,
24,25,25,21,23,22,20,25,
24,25,26,23,38,23,19,25,
22,24,27,55,261,39,23,24,
44,50,76,243,577,179,195,93,
54,64,94,293,765,218,270,300,
83,102,155,502,916,339,345,418,
112,151,243,711,1101,473,471,519,
153,198,303,815,1250,601,608,686,
179,252,389,1045,1306,778,642,706,
187,263,402,1097,1365,900,660,653,
167,237,352,1020,1336,966,645,557,
139,176,248,892,1159,771,566,421,
145,184,261,931,1169,925,630,423,
135,166,245,965,1216,869,592,467,
127,161,237,949,1235,886,606,413,
125,143,233,942,1304,891,676,438,
136,157,252,873,1302,923,675,484,
141,176,281,851,1294,855,644,498,
152,174,276,840,1282,836,645,474,
185,210,329,916,1208,889,611,455,
181,209,321,911,1147,867,545,493,
183,187,282,828,1081,867,659,514,
207,185,278,754,1052,870,749,541,
181,148,223,714,1117,820,822,589,
177,137,201,728,1066,844,840,542,
171,136,204,807,1051,796,788,518,
165,123,198,824,1146,737,694,506,
133,133,209,838,1153,780,621,472,
143,150,243,861,1191,894,500,411,
141,151,248,797,1226,853,455,455,
137,142,236,747,1216,828,494,418,
155,156,257,865,1108,843,558,461,
165,184,299,979,1125,836,495,451,
168,179,289,932,1137,661,537,470,
170,189,297,1047,1092,673,589,415,
213,210,335,1113,1121,699,567,482,
201,213,330,1108,1138,706,502,437,
215,213,324,1070,1188,671,529,426,
207,200,299,1099,1175,715,483,428,
219,200,309,1047,1166,684,422,439,
198,215,326,1049,1152,788,453,371,
201,214,332,970,1127,827,475,361,
228,197,299,845,1003,871,622,413,
187,166,255,842,942,798,617,375,
192,197,286,844,960,862,652,429,
217,219,323,856,1094,774,615,427,
222,217,318,863,1080,832,613,398,
175,165,252,796,1145,733,452,431,
154,126,185,884,1072,787,454,459,
153,123,192,862,1051,711,456,465,
158,130,213,884,1000,694,488,488,
149,128,213,875,929,626,444,453,
146,125,217,931,995,598,437,448,
141,124,219,856,1031,558,429,412,
165,132,231,915,1133,639,543,438,
206,134,221,889,1147,682,522,389,
203,148,240,880,1040,700,563,431,
195,139,220,789,994,654,546,457,
188,137,218,774,1110,711,542,468,
158,150,230,790,1023,729,581,440,
172,139,206,750,1037,709,669,428,
207,174,268,839,1062,735,676,439,
201,182,282,899,1056,767,688,415,
202,180,276,851,938,767,708,427,
213,202,310,877,1003,768,743,470,
201,211,323,841,944,757,682,433,
189,203,307,895,1027,715,683,414,
199,240,375,902,993,736,652,371,
234,260,402,928,1035,717,658,384,
213,241,381,839,1035,701,602,319,
208,234,371,852,1072,694,569,315,
185,217,345,657,981,662,515,299,
162,160,244,526,928,543,415,269,
95,138,210,620,963,483,339,148,
95,124,180,642,878,402,237,120,
88,116,169,658,779,332,187,106,
77,98,137,744,687,271,141,131,
76,97,134,873,663,252,123,131,
59,61,88,828,395,191,120,122,
50,48,75,852,351,157,161,126,
50,50,100,977,388,198,224,122,
44,39,94,913,345,210,234,82,
42,38,95,848,320,230,238,82,
39,34,94,842,296,221,227,79,
38,35,89,780,286,212,207,67,
36,30,59,552,155,168,134,55,
37,31,58,504,128,136,113,46,
31,32,39,173,52,37,59,24,
29,32,41,168,48,37,52,23,
34,36,55,191,50,33,48,23,
31,39,67,182,48,28,32,23,
33,39,69,179,46,29,30,24,
33,41,69,185,43,27,29,25,
36,38,50,153,39,28,27,25,
38,46,61,154,41,27,27,25,
41,47,59,183,47,25,25,24,
38,43,54,175,44,24,25,24,
39,44,54,173,42,25,26,26,
41,46,58,168,44,23,24,25,
38,41,47,165,41,21,24,24,
35,43,54,106,36,23,23,25,
35,42,65,86,34,24,24,28,
32,40,64,95,35,22,23,26,
43,56,79,95,34,25,25,30,
43,58,82,80,33,26,24,29,
46,59,88,84,32,26,26,32,
47,63,83,82,33,26,25,30,
49,64,86,72,32,26,24,30,
40,49,76,96,34,26,24,29,
42,47,71,109,37,25,24,29,
39,40,59,103,35,24,21,25,
41,37,61,104,34,25,21,24,
38,35,57,103,33,26,22,23,
38,35,49,112,35,25,23,24,
35,35,51,131,35,27,22,25,
38,37,51,131,37,26,23,26,
33,38,46,132,38,26,24,25,
32,39,47,133,37,26,26,26,
30,36,47,91,33,24,25,23,
31,35,44,99,35,24,25,21,
34,38,63,102,38,23,24,25,
36,38,62,121,46,23,22,25,
37,37,64,114,45,23,22,25,
40,42,69,107,44,27,21,26,
35,39,52,107,38,26,20,25,
33,39,54,95,29,25,20,25,
29,39,47,90,27,26,21,24,
28,38,40,87,29,23,21,24,
30,38,43,106,34,24,20,26,
30,36,41,105,37,27,21,25,
30,36,38,93,35,27,21,25,
32,38,42,98,38,25,22,26,
30,35,39,103,38,27,24,24,
31,40,38,79,35,27,27,22,
31,41,50,85,32,22,27,22,
30,42,52,87,34,23,27,22,
33,35,57,115,414,44,27,28,
36,37,57,183,556,81,37,31,
44,56,87,344,770,164,128,181,
103,91,137,492,963,269,220,373,
163,107,161,563,1119,342,295,426,
199,136,204,712,1187,417,409,555,
221,176,266,781,1289,586,478,655,
289,211,339,905,1323,647,508,693,
312,229,380,1020,1263,761,522,627,
328,294,508,1164,1317,905,536,658,
