-19,14,14,9,-4,-27,-107,-33
-10,-101,-14,-6,-2,1,-23,45
43,-28,-7,-4,-3,-5,-3,-49
45,50,8,2,1,11,18,40
79,32,5,-3,2,0,-3,-5
6,-3,9,-1,-1,1,53,20
5,-24,-8,-1,5,6,-23,-52
1,67,10,1,2,-2,12,37
-76,-67,7,-6,-7,-3,-14,-81
2,-2,-43,-7,-8,-4,-1,-37
0,-40,3,-1,-2,-7,0,-8
-40,0,14,0,-7,-5,5,26
27,117,9,-1,-2,-5,34,88
-3,-24,9,4,7,18,2,-7
-11,-48,-12,-6,-4,-12,-28,-51
-35,-17,-1,-2,-1,6,14,115
89,81,14,-11,-10,5,41,-7
-122,-53,4,6,-4,-24,-89,-42
-8,-39,10,-6,-10,-18,-35,53
2,16,2,2,-5,-3,-3,15
-72,24,-3,-8,-9,-2,8,32
-9,-13,-23,-14,-7,12,43,61
10,3,-33,0,1,-6,-13,-67
-25,-47,-7,1,5,1,4,-9
-21,17,-16,6,2,3,-9,-19
23,-25,-6,0,2,2,7,68
67,34,-26,-5,-9,-5,9,-23
-13,-51,-29,3,9,-3,-18,-10
-18,10,12,0,2,4,-13,38
32,14,21,0,-2,-4,0,-14
-10,-24,53,4,-6,4,13,28
1,49,4,-5,-12,-6,-5,-30
21,63,-81,4,37,15,21,67
-51,-13,107,10,-3,-4,-16,-30
-53,6,-4,7,-8,-5,1,8
17,-66,-17,-5,7,4,-1,26
-46,-42,14,9,1,-5,-15,49
19,38,-84,-3,-21,3,44,48
19,4,101,8,8,2,-13,11
-12,-19,104,17,27,2,-8,-23
-23,-59,-85,-30,29,3,-11,-14
15,23,100,34,4,-3,12,-19
8,-34,6,6,-5,2,-6,-39
15,30,-3,-8,-32,-4,0,3
13,1,29,5,-13,0,5,-10
13,0,-48,-14,-1,0,-7,-6
4,29,-1,-6,-1,-7,-22,0
-9,-11,-4,-14,2,2,-2,9
-6,-37,-15,23,-14,-7,3,-9
-8,12,-33,-91,-36,-10,-17,-76
9,19,-76,41,-6,-4,11,95
-9,18,-7,-76,37,15,2,-114
9,-31,60,26,-7,-4,-13,22
8,-1,-21,13,-21,-9,-5,46
-6,-4,13,-23,8,0,6,51
