,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,channel 9,channel 10,channel 11,channel 12,channel 13,channel 14,channel 15,channel 16,channel 17,channel 18
0,313,360,522,434,312,751,323,380,0.7913818359375,0.53619384765625,0.21905517578125,-0.1951904296875,-0.357421875,0.8857421875,0.17138671875,5.5625,0.9375,-1.5
0,394,354,512,420,292,658,243,261,0.7840576171875,0.54266357421875,0.22637939453125,-0.19854736328125,-1.0693359375,0.50146484375,-0.43359375,14.0,-1.5,-0.8125
0,443,347,496,429,279,679,314,268,0.78662109375,0.5404052734375,0.22198486328125,-0.19964599609375,-0.42431640625,0.77490234375,0.896484375,19.0,-2.6875,0.25
0,493,218,338,355,239,486,297,229,0.78851318359375,0.541748046875,0.21466064453125,-0.196533203125,-0.0712890625,1.02880859375,0.65576171875,17.0625,-0.375,4.8125
0,504,163,241,383,228,390,296,214,0.78125,0.54913330078125,0.2215576171875,-0.1971435546875,-0.92822265625,0.55859375,-0.44580078125,13.1875,9.375,4.625
0,450,145,231,427,219,379,299,192,0.781005859375,0.54864501953125,0.22393798828125,-0.1968994140625,-0.6875,0.61767578125,0.5009765625,9.625,16.75,5.25
0,382,152,243,459,217,355,300,191,0.7813720703125,0.5511474609375,0.22076416015625,-0.19207763671875,-0.111328125,0.89501953125,0.33251953125,7.25,14.0,6.25
0,334,133,222,432,204,193,174,123,0.78033447265625,0.552734375,0.22222900390625,-0.19012451171875,-0.5224609375,0.72265625,0.23583984375,4.25,14.375,5.3125
0,270,119,181,483,185,158,153,107,0.7803955078125,0.55230712890625,0.22418212890625,-0.18865966796875,-0.5205078125,0.708984375,0.27783203125,-5.4375,13.0,0.5
0,234,116,165,423,158,132,130,90,0.78033447265625,0.552490234375,0.22509765625,-0.18719482421875,-0.49658203125,0.7216796875,0.259765625,-2.3125,9.125,2.5625
0,228,108,154,390,149,116,119,81,0.7802734375,0.55218505859375,0.2265625,-0.1865234375,-0.537109375,0.728515625,0.2451171875,-4.9375,7.1875,-1.625
0,211,70,118,345,123,81,98,61,0.7833251953125,0.54925537109375,0.22509765625,-0.18438720703125,-0.267578125,0.75439453125,0.50439453125,-12.0625,7.3125,-1.3125
0,171,84,120,323,141,95,82,53,0.7801513671875,0.5499267578125,0.23199462890625,-0.187255859375,-0.99560546875,0.4560546875,-0.06591796875,-3.1875,4.0,-1.125
